crime_date,location_description,location_category,count
2017-01-01,NURSING / RETIREMENT HOME,other,1
2017-01-01,DRIVEWAY - RESIDENTIAL,outdoor,4
2017-01-01,MEDICAL/DENTAL OFFICE,other,1
2017-01-01,CHA HALLWAY/STAIRWELL/ELEVATOR,other,2
2017-01-01,CTA PLATFORM,other,1
2017-01-01,WAREHOUSE,other,2
2017-01-01,OTHER,other,61
2017-01-01,CLEANING STORE,other,1
2017-01-01,ATM (AUTOMATIC TELLER MACHINE),other,2
2017-01-01,STREET,outdoor,168
2017-01-01,TAVERN,other,1
2017-01-01,SCHOOL - PUBLIC BUILDING,indoor,2
2017-01-01,GROCERY FOOD STORE,indoor,13
2017-01-01,"SCHOOL, PUBLIC, BUILDING",other,8
2017-01-01,HOSPITAL BUILDING / GROUNDS,indoor,1
2017-01-01,MOVIE HOUSE/THEATER,other,1
2017-01-01,RESIDENCE,indoor,451
2017-01-01,RESIDENTIAL YARD (FRONT/BACK),other,13
2017-01-01,RESIDENCE-GARAGE,other,12
2017-01-01,ABANDONED BUILDING,other,3
2017-01-01,ATHLETIC CLUB,other,2
2017-01-01,GAS STATION,outdoor,12
2017-01-01,SIDEWALK,outdoor,45
2017-01-01,HOTEL/MOTEL,other,14
2017-01-01,DRUG STORE,indoor,3
2017-01-01,CTA STATION,other,2
2017-01-01,CHA APARTMENT,other,1
2017-01-01,PARK PROPERTY,outdoor,3
2017-01-01,TAVERN/LIQUOR STORE,other,1
2017-01-01,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,other,2
2017-01-01,RESTAURANT,indoor,23
2017-01-01,CURRENCY EXCHANGE,indoor,1
2017-01-01,BARBERSHOP,other,1
2017-01-01,CTA BUS,other,3
2017-01-01,COMMERCIAL / BUSINESS OFFICE,indoor,8
2017-01-01,SMALL RETAIL STORE,indoor,9
2017-01-01,ALLEY,outdoor,22
2017-01-01,JAIL / LOCK-UP FACILITY,other,1
2017-01-01,CONVENIENCE STORE,indoor,7
2017-01-01,NURSING HOME/RETIREMENT HOME,other,3
2017-01-01,VEHICLE - OTHER RIDE SERVICE,other,1
2017-01-01,DEPARTMENT STORE,indoor,6
2017-01-01,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,other,3
2017-01-01,CTA TRAIN,other,6
2017-01-01,CAR WASH,other,1
2017-01-01,BANK,indoor,1
2017-01-01,TAXICAB,other,3
2017-01-01,RESIDENCE PORCH/HALLWAY,other,11
2017-01-01,HOSPITAL BUILDING/GROUNDS,other,5
2017-01-01,APARTMENT,indoor,214
2017-01-01,SPORTS ARENA/STADIUM,other,2
2017-01-01,OTHER (SPECIFY),other,7
2017-01-01,POOL ROOM,other,1
2017-01-01,BAR OR TAVERN,indoor,27
2017-01-01,POLICE FACILITY/VEH PARKING LOT,other,2
2017-01-01,GOVERNMENT BUILDING/PROPERTY,other,1
2017-01-01,PARKING LOT/GARAGE(NON.RESID.),other,24
2017-01-01,VEHICLE NON-COMMERCIAL,other,20
2017-01-01,VACANT LOT/LAND,other,1
2017-01-02,PARKING LOT/GARAGE(NON.RESID.),other,24
2017-01-02,DRUG STORE,indoor,2
2017-01-02,VACANT LOT/LAND,other,3
2017-01-02,TAXICAB,other,1
2017-01-02,ABANDONED BUILDING,other,1
2017-01-02,HOTEL/MOTEL,other,5
2017-01-02,POLICE FACILITY/VEH PARKING LOT,other,4
2017-01-02,AIRPORT VENDING ESTABLISHMENT,other,1
2017-01-02,COMMERCIAL / BUSINESS OFFICE,indoor,2
2017-01-02,BAR OR TAVERN,indoor,2
2017-01-02,GAS STATION,outdoor,13
2017-01-02,DEPARTMENT STORE,indoor,7
2017-01-02,CTA PLATFORM,other,1
2017-01-02,DRIVEWAY - RESIDENTIAL,outdoor,2
2017-01-02,CTA BUS,other,3
2017-01-02,VEHICLE - DELIVERY TRUCK,other,1
2017-01-02,RESIDENCE PORCH/HALLWAY,other,1
2017-01-02,TAVERN/LIQUOR STORE,other,2
2017-01-02,APARTMENT,indoor,83
2017-01-02,ATHLETIC CLUB,other,2
2017-01-02,CHA PARKING LOT/GROUNDS,other,1
2017-01-02,RESIDENCE,indoor,125
2017-01-02,OTHER RAILROAD PROP / TRAIN DEPOT,other,1
2017-01-02,RESTAURANT,indoor,13
2017-01-02,SMALL RETAIL STORE,indoor,14
2017-01-02,NURSING HOME/RETIREMENT HOME,other,2
2017-01-02,"SCHOOL, PUBLIC, GROUNDS",other,1
2017-01-02,CONVENIENCE STORE,indoor,7
2017-01-02,CTA TRAIN,other,2
2017-01-02,STREET,outdoor,135
2017-01-02,GROCERY FOOD STORE,indoor,8
2017-01-02,HOSPITAL BUILDING/GROUNDS,other,4
2017-01-02,RESIDENTIAL YARD (FRONT/BACK),other,18
2017-01-02,CTA GARAGE / OTHER PROPERTY,other,1
2017-01-02,VEHICLE NON-COMMERCIAL,other,12
2017-01-02,"SCHOOL, PUBLIC, BUILDING",other,1
2017-01-02,WAREHOUSE,other,1
