crime_date,primary_type,count
2017-01-01,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-01,WEAPONS VIOLATION,9
2017-01-01,NARCOTICS,12
2017-01-01,DECEPTIVE PRACTICE,220
2017-01-01,THEFT,187
2017-01-01,BATTERY,207
2017-01-01,KIDNAPPING,1
2017-01-01,HOMICIDE,2
2017-01-01,OFFENSE INVOLVING CHILDREN,165
2017-01-01,SEX OFFENSE,57
2017-01-01,CRIMINAL SEXUAL ASSAULT,18
2017-01-01,ASSAULT,46
2017-01-01,OTHER OFFENSE,80
2017-01-01,HUMAN TRAFFICKING,1
2017-01-01,PUBLIC PEACE VIOLATION,6
2017-01-01,CRIM SEXUAL ASSAULT,34
2017-01-01,CRIMINAL DAMAGE,116
2017-01-01,INTIMIDATION,1
2017-01-01,BURGLARY,23
2017-01-01,CRIMINAL TRESPASS,15
2017-01-01,OBSCENITY,1
2017-01-01,MOTOR VEHICLE THEFT,34
2017-01-01,ROBBERY,43
2017-01-02,BATTERY,105
2017-01-02,ASSAULT,38
2017-01-02,ROBBERY,33
2017-01-02,KIDNAPPING,1
2017-01-02,CRIMINAL TRESPASS,17
2017-01-02,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-02,OFFENSE INVOLVING CHILDREN,4
2017-01-02,ARSON,3
2017-01-02,STALKING,1
2017-01-02,OTHER OFFENSE,45
2017-01-02,SEX OFFENSE,5
2017-01-02,MOTOR VEHICLE THEFT,37
2017-01-02,BURGLARY,30
2017-01-02,DECEPTIVE PRACTICE,54
2017-01-02,CRIMINAL DAMAGE,73
2017-01-02,HOMICIDE,1
2017-01-02,NARCOTICS,28
2017-01-02,THEFT,120
2017-01-02,WEAPONS VIOLATION,12
2017-01-02,PUBLIC PEACE VIOLATION,1
2017-01-02,CRIM SEXUAL ASSAULT,2
2017-01-03,INTIMIDATION,2
2017-01-03,INTERFERENCE WITH PUBLIC OFFICER,1
2017-01-03,OFFENSE INVOLVING CHILDREN,6
2017-01-03,DECEPTIVE PRACTICE,78
2017-01-03,NARCOTICS,38
2017-01-03,THEFT,148
2017-01-03,PUBLIC PEACE VIOLATION,5
2017-01-03,WEAPONS VIOLATION,8
2017-01-03,CRIM SEXUAL ASSAULT,1
2017-01-03,CRIMINAL TRESPASS,17
2017-01-03,CONCEALED CARRY LICENSE VIOLATION,1
2017-01-03,SEX OFFENSE,3
2017-01-03,OTHER OFFENSE,43
2017-01-03,ASSAULT,55
2017-01-03,ROBBERY,36
2017-01-03,CRIMINAL DAMAGE,82
2017-01-03,MOTOR VEHICLE THEFT,34
2017-01-03,BURGLARY,43
2017-01-03,STALKING,2
2017-01-03,HOMICIDE,2
2017-01-03,ARSON,1
2017-01-03,BATTERY,114
2017-01-03,CRIMINAL SEXUAL ASSAULT,1
2017-01-04,OTHER OFFENSE,54
2017-01-04,CONCEALED CARRY LICENSE VIOLATION,2
2017-01-04,CRIM SEXUAL ASSAULT,1
2017-01-04,MOTOR VEHICLE THEFT,32
2017-01-04,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-04,PROSTITUTION,2
2017-01-04,THEFT,161
2017-01-04,WEAPONS VIOLATION,5
2017-01-04,ASSAULT,34
2017-01-04,BATTERY,95
2017-01-04,CRIMINAL DAMAGE,57
2017-01-04,NARCOTICS,25
2017-01-04,HOMICIDE,2
2017-01-04,OFFENSE INVOLVING CHILDREN,5
2017-01-04,BURGLARY,30
2017-01-04,ROBBERY,29
2017-01-04,DECEPTIVE PRACTICE,60
2017-01-04,CRIMINAL TRESPASS,17
2017-01-04,ARSON,1
2017-01-05,CONCEALED CARRY LICENSE VIOLATION,1
2017-01-05,OFFENSE INVOLVING CHILDREN,1
2017-01-05,DECEPTIVE PRACTICE,65
2017-01-05,CRIMINAL DAMAGE,68
2017-01-05,ARSON,1
2017-01-05,SEX OFFENSE,2
2017-01-05,BURGLARY,30
2017-01-05,PUBLIC PEACE VIOLATION,2
2017-01-05,NARCOTICS,25
2017-01-05,INTERFERENCE WITH PUBLIC OFFICER,4
2017-01-05,ROBBERY,29
2017-01-05,MOTOR VEHICLE THEFT,44
2017-01-05,THEFT,132
2017-01-05,WEAPONS VIOLATION,5
2017-01-05,CRIMINAL SEXUAL ASSAULT,1
2017-01-05,CRIM SEXUAL ASSAULT,3
2017-01-05,OTHER OFFENSE,57
2017-01-05,HOMICIDE,1
2017-01-05,CRIMINAL TRESPASS,16
2017-01-05,BATTERY,83
2017-01-05,ASSAULT,42
2017-01-06,OFFENSE INVOLVING CHILDREN,9
2017-01-06,ROBBERY,31
2017-01-06,CRIMINAL DAMAGE,68
2017-01-06,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-06,NARCOTICS,29
2017-01-06,BATTERY,81
2017-01-06,BURGLARY,35
2017-01-06,CRIM SEXUAL ASSAULT,3
2017-01-06,CRIMINAL TRESPASS,12
2017-01-06,MOTOR VEHICLE THEFT,57
2017-01-06,DECEPTIVE PRACTICE,46
2017-01-06,OTHER OFFENSE,41
2017-01-06,ARSON,1
2017-01-06,WEAPONS VIOLATION,9
2017-01-06,HOMICIDE,1
2017-01-06,KIDNAPPING,3
2017-01-06,ASSAULT,44
2017-01-06,PUBLIC PEACE VIOLATION,6
2017-01-06,THEFT,123
2017-01-07,HOMICIDE,1
2017-01-07,NARCOTICS,32
2017-01-07,DECEPTIVE PRACTICE,44
2017-01-07,PUBLIC PEACE VIOLATION,3
2017-01-07,SEX OFFENSE,1
2017-01-07,BURGLARY,28
2017-01-07,CRIMINAL DAMAGE,62
2017-01-07,ASSAULT,42
2017-01-07,ROBBERY,36
2017-01-07,CRIM SEXUAL ASSAULT,5
2017-01-07,WEAPONS VIOLATION,5
2017-01-07,CRIMINAL TRESPASS,20
2017-01-07,OFFENSE INVOLVING CHILDREN,4
2017-01-07,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-07,PROSTITUTION,2
2017-01-07,STALKING,1
2017-01-07,OTHER OFFENSE,45
2017-01-07,BATTERY,120
2017-01-07,MOTOR VEHICLE THEFT,45
2017-01-07,THEFT,120
2017-01-08,INTERFERENCE WITH PUBLIC OFFICER,4
2017-01-08,WEAPONS VIOLATION,9
2017-01-08,BURGLARY,21
2017-01-08,DECEPTIVE PRACTICE,28
2017-01-08,NARCOTICS,25
2017-01-08,STALKING,1
2017-01-08,ROBBERY,35
2017-01-08,ASSAULT,45
2017-01-08,CRIMINAL SEXUAL ASSAULT,4
2017-01-08,CRIMINAL DAMAGE,70
2017-01-08,OTHER OFFENSE,54
2017-01-08,CRIM SEXUAL ASSAULT,2
2017-01-08,CRIMINAL TRESPASS,20
2017-01-08,THEFT,105
2017-01-08,MOTOR VEHICLE THEFT,47
2017-01-08,PUBLIC PEACE VIOLATION,4
2017-01-08,OFFENSE INVOLVING CHILDREN,1
2017-01-08,ARSON,1
2017-01-08,BATTERY,115
2017-01-09,OTHER OFFENSE,51
2017-01-09,ROBBERY,27
2017-01-09,BATTERY,91
2017-01-09,HOMICIDE,2
2017-01-09,CRIMINAL TRESPASS,17
2017-01-09,OFFENSE INVOLVING CHILDREN,8
2017-01-09,MOTOR VEHICLE THEFT,53
2017-01-09,NARCOTICS,37
2017-01-09,WEAPONS VIOLATION,14
2017-01-09,LIQUOR LAW VIOLATION,1
2017-01-09,THEFT,158
2017-01-09,PROSTITUTION,1
2017-01-09,DECEPTIVE PRACTICE,60
2017-01-09,CRIMINAL DAMAGE,91
2017-01-09,PUBLIC PEACE VIOLATION,2
2017-01-09,BURGLARY,57
2017-01-09,CRIM SEXUAL ASSAULT,3
2017-01-09,CRIMINAL SEXUAL ASSAULT,1
2017-01-09,ASSAULT,38
2017-01-09,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-10,BURGLARY,52
2017-01-10,THEFT,152
2017-01-10,BATTERY,105
2017-01-10,CRIM SEXUAL ASSAULT,6
2017-01-10,OTHER OFFENSE,57
2017-01-10,ASSAULT,47
2017-01-10,PUBLIC PEACE VIOLATION,2
2017-01-10,NARCOTICS,21
2017-01-10,WEAPONS VIOLATION,7
2017-01-10,ROBBERY,35
2017-01-10,CRIMINAL TRESPASS,20
2017-01-10,SEX OFFENSE,2
2017-01-10,CRIMINAL SEXUAL ASSAULT,1
2017-01-10,CRIMINAL DAMAGE,94
2017-01-10,OFFENSE INVOLVING CHILDREN,8
2017-01-10,INTIMIDATION,1
2017-01-10,MOTOR VEHICLE THEFT,25
2017-01-10,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-10,DECEPTIVE PRACTICE,70
2017-01-11,CRIMINAL DAMAGE,57
2017-01-11,CRIM SEXUAL ASSAULT,3
2017-01-11,BATTERY,119
2017-01-11,THEFT,147
2017-01-11,OFFENSE INVOLVING CHILDREN,8
2017-01-11,SEX OFFENSE,1
2017-01-11,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-11,STALKING,1
2017-01-11,DECEPTIVE PRACTICE,58
2017-01-11,ROBBERY,34
2017-01-11,NARCOTICS,30
2017-01-11,ASSAULT,38
2017-01-11,CRIMINAL TRESPASS,23
2017-01-11,PUBLIC PEACE VIOLATION,4
2017-01-11,BURGLARY,33
2017-01-11,WEAPONS VIOLATION,11
2017-01-11,MOTOR VEHICLE THEFT,36
2017-01-11,HOMICIDE,3
2017-01-11,OTHER OFFENSE,54
2017-01-12,OTHER OFFENSE,71
2017-01-12,BATTERY,94
2017-01-12,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-12,SEX OFFENSE,2
2017-01-12,THEFT,151
2017-01-12,DECEPTIVE PRACTICE,44
2017-01-12,PROSTITUTION,4
2017-01-12,ASSAULT,42
2017-01-12,OFFENSE INVOLVING CHILDREN,8
2017-01-12,MOTOR VEHICLE THEFT,30
2017-01-12,PUBLIC PEACE VIOLATION,2
2017-01-12,ROBBERY,33
2017-01-12,ARSON,1
2017-01-12,NARCOTICS,24
2017-01-12,STALKING,1
2017-01-12,CRIM SEXUAL ASSAULT,1
2017-01-12,CRIMINAL DAMAGE,61
2017-01-12,WEAPONS VIOLATION,12
2017-01-12,INTIMIDATION,1
2017-01-12,HOMICIDE,1
2017-01-12,CRIMINAL TRESPASS,17
2017-01-12,LIQUOR LAW VIOLATION,1
2017-01-12,CRIMINAL SEXUAL ASSAULT,1
2017-01-12,BURGLARY,40
2017-01-13,THEFT,188
2017-01-13,INTIMIDATION,1
2017-01-13,ROBBERY,47
2017-01-13,MOTOR VEHICLE THEFT,48
2017-01-13,NARCOTICS,38
2017-01-13,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-13,HOMICIDE,3
2017-01-13,WEAPONS VIOLATION,9
2017-01-13,SEX OFFENSE,1
2017-01-13,CRIM SEXUAL ASSAULT,4
2017-01-13,CRIMINAL TRESPASS,27
2017-01-13,ASSAULT,45
2017-01-13,PUBLIC PEACE VIOLATION,1
2017-01-13,PROSTITUTION,5
2017-01-13,OTHER OFFENSE,58
2017-01-13,BURGLARY,62
2017-01-13,DECEPTIVE PRACTICE,64
2017-01-13,ARSON,2
2017-01-13,BATTERY,115
2017-01-13,OFFENSE INVOLVING CHILDREN,6
2017-01-13,CRIMINAL DAMAGE,74
2017-01-14,INTIMIDATION,1
2017-01-14,CONCEALED CARRY LICENSE VIOLATION,1
2017-01-14,INTERFERENCE WITH PUBLIC OFFICER,2
2017-01-14,HOMICIDE,3
2017-01-14,CRIMINAL DAMAGE,80
2017-01-14,PROSTITUTION,8
2017-01-14,BATTERY,118
2017-01-14,ROBBERY,32
2017-01-14,THEFT,136
2017-01-14,WEAPONS VIOLATION,13
2017-01-14,PUBLIC PEACE VIOLATION,3
2017-01-14,BURGLARY,26
2017-01-14,ASSAULT,48
2017-01-14,LIQUOR LAW VIOLATION,1
2017-01-14,CRIMINAL TRESPASS,16
2017-01-14,CRIMINAL SEXUAL ASSAULT,1
2017-01-14,SEX OFFENSE,3
2017-01-14,DECEPTIVE PRACTICE,49
2017-01-14,MOTOR VEHICLE THEFT,40
2017-01-14,OFFENSE INVOLVING CHILDREN,5
2017-01-14,OTHER OFFENSE,52
2017-01-14,ARSON,3
2017-01-14,NARCOTICS,38
2017-01-14,CRIM SEXUAL ASSAULT,6
2017-01-15,ROBBERY,43
2017-01-15,SEX OFFENSE,1
2017-01-15,OTHER OFFENSE,43
2017-01-15,MOTOR VEHICLE THEFT,30
2017-01-15,ASSAULT,34
2017-01-15,DECEPTIVE PRACTICE,42
2017-01-15,NARCOTICS,29
2017-01-15,BURGLARY,38
2017-01-15,BATTERY,127
2017-01-15,OBSCENITY,1
2017-01-15,CRIM SEXUAL ASSAULT,4
2017-01-15,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-15,CRIMINAL DAMAGE,70
2017-01-15,THEFT,149
2017-01-15,WEAPONS VIOLATION,17
2017-01-15,PUBLIC PEACE VIOLATION,5
2017-01-15,HOMICIDE,2
2017-01-15,CRIMINAL TRESPASS,13
2017-01-15,OFFENSE INVOLVING CHILDREN,5
2017-01-16,CRIMINAL DAMAGE,68
2017-01-16,PUBLIC INDECENCY,1
2017-01-16,WEAPONS VIOLATION,9
2017-01-16,BATTERY,119
2017-01-16,ROBBERY,32
2017-01-16,MOTOR VEHICLE THEFT,31
2017-01-16,OFFENSE INVOLVING CHILDREN,4
2017-01-16,INTERFERENCE WITH PUBLIC OFFICER,1
2017-01-16,OTHER OFFENSE,40
2017-01-16,NARCOTICS,21
2017-01-16,CRIMINAL TRESPASS,15
2017-01-16,HOMICIDE,3
2017-01-16,CRIM SEXUAL ASSAULT,7
2017-01-16,PUBLIC PEACE VIOLATION,5
2017-01-16,DECEPTIVE PRACTICE,42
2017-01-16,ASSAULT,46
2017-01-16,THEFT,165
2017-01-16,BURGLARY,43
2017-01-16,PROSTITUTION,1
2017-01-17,PUBLIC PEACE VIOLATION,3
2017-01-17,WEAPONS VIOLATION,10
2017-01-17,BURGLARY,42
2017-01-17,CRIMINAL SEXUAL ASSAULT,3
2017-01-17,MOTOR VEHICLE THEFT,28
2017-01-17,HOMICIDE,2
2017-01-17,SEX OFFENSE,2
2017-01-17,ROBBERY,30
2017-01-17,NARCOTICS,31
2017-01-17,THEFT,186
2017-01-17,STALKING,1
2017-01-17,DECEPTIVE PRACTICE,63
2017-01-17,ASSAULT,52
2017-01-17,PROSTITUTION,7
2017-01-17,INTERFERENCE WITH PUBLIC OFFICER,3
2017-01-17,CRIM SEXUAL ASSAULT,3
2017-01-17,OFFENSE INVOLVING CHILDREN,6
2017-01-17,CRIMINAL TRESPASS,23
2017-01-17,BATTERY,89
2017-01-17,CRIMINAL DAMAGE,81
2017-01-17,OTHER OFFENSE,43
2017-01-18,MOTOR VEHICLE THEFT,42
2017-01-18,CRIMINAL TRESPASS,19
2017-01-18,NARCOTICS,24
2017-01-18,OFFENSE INVOLVING CHILDREN,4
2017-01-18,DECEPTIVE PRACTICE,62
2017-01-18,LIQUOR LAW VIOLATION,1
2017-01-18,INTERFERENCE WITH PUBLIC OFFICER,4
2017-01-18,THEFT,166
2017-01-18,WEAPONS VIOLATION,14
2017-01-18,PROSTITUTION,2
2017-01-18,PUBLIC PEACE VIOLATION,2
2017-01-18,ASSAULT,47
2017-01-18,BATTERY,98
2017-01-18,BURGLARY,66
2017-01-18,CRIM SEXUAL ASSAULT,4
2017-01-18,SEX OFFENSE,1
2017-01-18,ROBBERY,28
2017-01-18,OTHER OFFENSE,52
2017-01-18,CRIMINAL DAMAGE,68
2017-01-18,HOMICIDE,4
2017-01-19,OTHER OFFENSE,51
2017-01-19,ROBBERY,36
2017-01-19,LIQUOR LAW VIOLATION,1
2017-01-19,MOTOR VEHICLE THEFT,39
2017-01-19,ASSAULT,47
2017-01-19,WEAPONS VIOLATION,6
2017-01-19,SEX OFFENSE,3
2017-01-19,CRIMINAL TRESPASS,14
2017-01-19,BURGLARY,33
2017-01-19,OFFENSE INVOLVING CHILDREN,6
2017-01-19,CRIMINAL DAMAGE,82
2017-01-19,OBSCENITY,1
